Part #,Min. Quantity,Name on Seller Website,Description,Link,Color/Size,Quantity,Unit Price ($),Total Price ($),Running Total ($)
MX-keyboard switches,86,Outemu Switch Mechanical Keyboard Switch 3Pin Clicky Linear Tactile Silent Switches RGB LED SMD Gaming Compatible With MX Switch,Keyboard Switches,https://www.aliexpress.us/item/3256802192387196.html,"Color: Dust-Proof Purple
Axis Body: 90PCS",1,$10.31,$10.31,$10.31
Red LED,87,100pcs 5mm LED Diode F5 Assorted Kit White Green Red Blue Yellow Orange Pink Purple Warm White DIY Light Emitting Diode,Diodes,https://www.aliexpress.us/item/3256806276743323.html,Color: Red-Red,1,$2.19,$2.19,$12.50
EC11 Rotary Encoder,1,5PCS/LOT 20 Position 360 Degree Rotary Encoder EC11 w Push Button 5Pin Handle Long 15/20MM With A Built In Push Button Switch,Rotary Encoder,https://www.aliexpress.us/item/3256805796819763.html?,15MM Half handle,1,$3.30,$3.30,$15.80
Raspberry Pi Pico,1,Raspberry Pi Pico,Microcontroller,https://www.sparkfun.com/raspberry-pi-pico.html,,0,$4.60,$0.00,$15.80
Micro USB male to panel mount USB C female,1,USB 3.1 Type C Micro Usb2.0 With Panel Mount Screw Extension Cable Cord USB C Male To Female Extending Wire Extender Data Cord,Adapter Cable,https://www.aliexpress.us/item/3256806244885684.html,A3,1,$2.69,$2.69,$18.49
M2 x 6mm Button Head screw,11,10/50pcs M1.6 M2 M2.5 M3 M4 M5 M6 M8 Black Grade 10.9 Steel ISO7380 Hexagon Hex Socket Head Button Mushroom Allen Bolt Screw,Mounting Screws,https://www.aliexpress.us/item/2251832782727837.html,"Size: M2 (50pcs)
Length: 6mm",1,$1.07,$1.07,$19.56
MX Keycaps,TKL Layout,"104pcs ABS Universal Mechanical Keyboard Keycaps Ergonomic Blank Keycaps For Cherry MX Keyboard Replacement OEM Backlit Key Cap",Keycaps,https://www.aliexpress.us/item/3256808802544300.html,Red black,1,$11.48,$11.48,$31.04
Plate Mount Stabilizers,"1x 6.25U
4x 2U",KEYCOOL V3 PCB Plate Mounted Stabilizer for Gaming Mechanical Keyboard Lubrication Satellite Switches for 1.2mm 1.6mm PCB 6.25U,Stabilizers,https://www.aliexpress.us/item/3256808467378574.html,Black 4 in 1,1,$3.01,$3.01,$34.05
"M2, OD4mm Heatset Inserts",11,M2 M2.5 M3 M4 M5 M6 Brass Hot Melt Insert Knurled Nut Thread Heat Molding Double Twill Injection Embedment Nut For 3D Printer,Heatset Inserts,https://www.aliexpress.us/item/3256803396040989.html,"Size: M2(OD4mm)

Color: Length 5mm 50pcs",1,$2.27,$2.27,$36.32
Winnand-TKL PCB,1,JLCPCB,PCB,https://cart.jlcpcb.com/quote?spm=Jlcpcb.Homepage.1006,"Defaults except:
PCB Color: Black
Via Covering: Untented",5,$4.16,$20.80,$57.12
ARGB lights,1,Addressable ARGB 5V LED Strip 3Pin Computer PC Case Tape Light WS2812B SMD 5050 Flexible Changeable Color Gamer Desktop Lamp,Lights,https://www.aliexpress.us/item/3256802938234249.html?,"Emitting Color: 1 x 0.5m 30leds

Color: IP30 Non waterproof",1,$4.00,$4.00,$61.12
