Designator,Mid X,Mid Y,Rotation,Layer
A0,338.455,-101.6,270.0,bottom
D1,44.45,-34.925,90.0,bottom
D10,254.0,-34.925,90.0,bottom
D11,273.05,-34.925,90.0,bottom
D12,292.1,-34.925,90.0,bottom
D13,311.15,-34.925,90.0,bottom
D14,334.9625,-34.925,90.0,bottom
D15,352.9,-34.925,90.0,bottom
D16,373.0625,-34.925,90.0,bottom
D17,44.45,-63.5,90.0,bottom
D18,63.5,-63.5,90.0,bottom
D19,82.55,-63.5,90.0,bottom
D2,82.55,-34.925,90.0,bottom
D20,101.6,-63.5,90.0,bottom
D21,120.65,-63.5,90.0,bottom
D22,139.7,-63.5,90.0,bottom
D23,158.75,-63.5,90.0,bottom
D24,177.8,-63.5,90.0,bottom
D25,196.85,-63.5,90.0,bottom
D26,215.9,-63.5,90.0,bottom
D27,234.95,-63.5,90.0,bottom
D28,254.0,-63.5,90.0,bottom
D29,273.05,-63.5,90.0,bottom
D3,101.6,-34.925,90.0,bottom
D30,301.625,-63.5,90.0,bottom
D31,334.9625,-63.5,90.0,bottom
D32,354.0125,-63.5,90.0,bottom
D33,373.0625,-63.5,90.0,bottom
D34,49.2125,-82.55,90.0,bottom
D35,73.025,-82.55,90.0,bottom
D36,92.075,-82.55,90.0,bottom
D37,111.125,-82.55,90.0,bottom
D38,130.175,-82.55,90.0,bottom
D39,149.225,-82.55,90.0,bottom
D4,120.65,-34.925,90.0,bottom
D40,168.275,-82.55,90.0,bottom
D41,187.325,-82.55,90.0,bottom
D42,206.375,-82.55,90.0,bottom
D43,225.425,-82.55,90.0,bottom
D44,244.475,-82.55,90.0,bottom
D45,263.525,-82.55,90.0,bottom
D46,282.575,-82.55,90.0,bottom
D47,306.3875,-82.55,90.0,bottom
D48,334.9625,-82.55,90.0,bottom
D49,354.0125,-82.55,90.0,bottom
D5,139.7,-34.925,90.0,bottom
D50,373.0625,-82.55,90.0,bottom
D51,51.59375,-101.6,90.0,bottom
D52,77.7875,-101.6,90.0,bottom
D53,96.8375,-101.6,90.0,bottom
D54,115.8875,-101.6,90.0,bottom
D55,134.9375,-101.6,90.0,bottom
D56,153.9875,-101.6,90.0,bottom
D57,173.0375,-101.6,90.0,bottom
D58,192.0875,-101.6,90.0,bottom
D59,211.1375,-101.6,90.0,bottom
D6,168.275,-34.925,90.0,bottom
D60,230.1875,-101.6,90.0,bottom
D61,249.2375,-101.6,90.0,bottom
D62,268.2875,-101.6,90.0,bottom
D63,299.24375,-101.6,90.0,bottom
D64,56.35625,-120.65,90.0,bottom
D65,87.3125,-120.65,90.0,bottom
D66,106.3625,-120.65,90.0,bottom
D67,125.4125,-120.65,90.0,bottom
D68,144.4625,-120.65,90.0,bottom
D69,163.5125,-120.65,90.0,bottom
D7,187.325,-34.925,90.0,bottom
D70,182.5625,-120.65,90.0,bottom
D71,201.6125,-120.65,90.0,bottom
D72,220.6625,-120.65,90.0,bottom
D73,239.7125,-120.65,90.0,bottom
D74,258.7625,-120.65,90.0,bottom
D75,294.48125,-120.65,90.0,bottom
D76,354.0125,-120.65,90.0,bottom
D77,46.83125,-139.7,90.0,bottom
D78,70.64375,-139.7,90.0,bottom
D79,94.45625,-139.7,90.0,bottom
D8,206.375,-34.925,90.0,bottom
D80,165.89375,-139.7,90.0,bottom
D81,237.33125,-139.7,90.0,bottom
D82,263.525,-139.7,90.0,bottom
D83,284.95625,-139.7,90.0,bottom
D84,308.76875,-139.7,90.0,bottom
D85,334.9625,-139.7,90.0,bottom
D86,354.0125,-139.7,90.0,bottom
D87,373.0625,-139.7,90.0,bottom
D9,225.425,-34.925,90.0,bottom
J1,369.0,-120.19,0.0,bottom
S1,35.035,-32.825,0.0,top
S10,244.475,-32.76,0.0,top
S11,263.525,-32.76,0.0,top
S12,282.575,-32.76,0.0,top
S13,301.625,-32.76,0.0,top
S14,325.4375,-32.76,0.0,top
S15,344.4875,-32.76,0.0,top
S17,34.925,-61.335,0.0,top
S18,53.975,-61.335,0.0,top
S19,73.025,-61.335,0.0,top
S2,73.025,-32.76,0.0,top
S20,92.075,-61.335,0.0,top
S21,111.125,-61.335,0.0,top
S22,130.175,-61.335,0.0,top
S23,149.225,-61.335,0.0,top
S24,168.275,-61.335,0.0,top
S25,187.325,-61.335,0.0,top
S26,206.375,-61.335,0.0,top
S27,225.425,-61.335,0.0,top
S28,244.475,-61.335,0.0,top
S29,263.525,-61.335,0.0,top
S3,92.075,-32.76,0.0,top
S30,292.1,-61.335,0.0,top
S31,325.4375,-61.335,0.0,top
S32,344.4875,-61.335,0.0,top
S33,363.5375,-61.335,0.0,top
S34,39.6875,-80.385,0.0,top
S35,63.5,-80.385,0.0,top
S36,82.55,-80.385,0.0,top
S37,101.6,-80.385,0.0,top
S38,120.65,-80.385,0.0,top
S39,139.7,-80.385,0.0,top
S4,111.125,-32.76,0.0,top
S40,158.75,-80.385,0.0,top
S41,177.8,-80.385,0.0,top
S42,196.85,-80.385,0.0,top
S43,215.9,-80.385,0.0,top
S44,234.95,-80.385,0.0,top
S45,254.0,-80.385,0.0,top
S46,273.05,-80.385,0.0,top
S47,296.8625,-80.385,0.0,top
S48,325.4375,-80.385,0.0,top
S49,344.4875,-80.385,0.0,top
S5,130.175,-32.76,0.0,top
S50,363.5375,-80.385,0.0,top
S51,42.2,-99.435,0.0,top
S52,68.2625,-99.435,0.0,top
S53,87.3125,-99.435,0.0,top
S54,106.3625,-99.435,0.0,top
S55,125.4125,-99.435,0.0,top
S56,144.4625,-99.435,0.0,top
S57,163.5125,-99.435,0.0,top
